x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
70.9614,-102.1206,1.284,-2.856,5,0,0,0,0,0
70.0024,-102.4041,1.2753,-2.8454,5,0,0,0,0,0
69.0481,-102.7027,1.2673,-2.8299,5,0,0,0,0,0
68.0992,-103.0184,1.2592,-2.8131,5,0,0,0,0,0
67.1555,-103.3492,1.2518,-2.7982,5,0,0,0,0,0
66.2173,-103.6952,1.2384,-2.7785,5,0,0,0,0,0
65.2856,-104.0584,1.2209,-2.7612,5,0,0,0,0,0
64.3602,-104.4373,1.2076,-2.7432,5,0,0,0,0,0
63.4421,-104.8337,1.1928,-2.7253,5,0,0,0,0,0
62.5312,-105.2463,1.1777,-2.707,5,0,0,0,0,0
61.628,-105.6755,1.1632,-2.6889,5,0,0,0,0,0
60.7338,-106.1232,1.152,-2.6705,5,0,0,0,0,0
59.8465,-106.5842,1.1385,-2.6509,5,0,0,0,0,0
58.969,-107.0639,1.1284,-2.6352,5,0,0,0,0,0
58.1007,-107.5599,1.1273,-2.6255,5,0,0,0,0,0
57.2328,-108.0568,1.1201,-2.6202,5,0,0,0,0,0
56.3662,-108.5557,1.1141,-2.6181,5,0,0,0,0,0
55.5008,-109.0568,1.1034,-2.6172,5,0,0,0,0,0
54.6362,-109.5593,1.0911,-2.6247,5,0,0,0,0,0
53.765,-110.0502,1.0785,-2.6357,5,0,0,0,0,0
52.8858,-110.5266,1.069,-2.6437,5,0,0,0,0,0
52.0055,-111.001,1.0573,-2.6491,5,0,0,0,0,0
51.1235,-111.4722,1.0521,-2.6577,5,0,0,0,0,0
50.2362,-111.9335,1.0476,-2.6641,5,0,0,0,0,0
49.3464,-112.3898,1.0442,-2.6704,5,0,0,0,0,0
48.4541,-112.8412,1.0429,-2.6749,5,0,0,0,0,0
47.5606,-113.2904,1.0452,-2.6764,5,0,0,0,0,0
46.6664,-113.738,1.0467,-2.6778,5,0,0,0,0,0
45.7717,-114.1846,1.0495,-2.6781,5,0,0,0,0,0
44.877,-114.6314,1.0535,-2.6762,5,0,0,0,0,0
43.9844,-115.0822,1.0565,-2.6786,5,0,0,0,0,0
43.0885,-115.5264,1.0459,-2.6753,5,0,0,0,0,0
42.1968,-115.9792,1.0372,-2.6801,5,0,0,0,0,0
41.3004,-116.4225,1.0162,-2.6824,5,0,0,0,0,0
40.4023,-116.8621,1.0017,-2.6864,5,0,0,0,0,0
39.5045,-117.3025,1.0096,-2.6894,5,0,0,0,0,0
38.6028,-117.7349,0.9814,-2.6829,5,0,0,0,0,0
37.7091,-118.1837,0.9571,-2.6814,5,0,0,0,0,0
36.8139,-118.6294,0.9482,-2.6744,5,0,0,0,0,0
35.9231,-119.0839,0.9685,-2.6785,5,0,0,0,0,0
35.027,-119.5276,0.9633,-2.6793,5,0,0,0,0,0
34.1309,-119.9716,0.9572,-2.6828,5,0,0,0,0,0
33.2346,-120.415,0.9503,-2.6901,5,0,0,0,0,0
32.3347,-120.8509,0.9538,-2.7136,5,0,0,0,0,0
31.4205,-121.2555,0.9596,-2.7535,5,0,0,0,0,0
